Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
1090		16/93557		16/255		0		56
1092		20/93558		20/1		0		61
1094		8/93558		8/0		0		56
1096		18/93559		18/1		0		53
1098		25/93928		25/369		0		62
1100		11/93987		11/59		0		65
1102		8/93987		8/0		0		62
1104		12/93988		12/1		0		60
1106		20/94073		20/85		0		51
1108		24/94544		24/471		0		42
1110		21/94770		21/226		0		58
1112		21/95188		21/418		0		7
1114		12/95208		12/20		0		61
1116		7/95208		7/0		0		43
1118		18/95209		18/1		0		66
1120		9/95241		9/32		0		59
1122		23/95644		23/403		0		60
1124		23/96073		23/429		0		61
1126		8/96073		8/0		0		65
1128		12/96074		12/1		0		8
1130		6/96074		6/0		0		61
1132		22/96357		22/283		0		56
1134		26/96818		26/461		0		11
1136		10/97074		10/256		0		62
1138		24/97377		24/303		0		60
1140		14/97624		14/247		0		60
1142		16/97881		16/257		0		48
1144		20/97883		20/2		0		61
1146		5/97883		5/0		0		45
1148		13/97884		13/1		0		50
1150		25/98258		25/374		0		8
1152		9/98505		9/247		0		51
1154		24/98915		24/410		0		53
1156		17/99144		17/229		0		71
1158		10/99167		10/23		0		63
1160		17/99168		17/1		0		7
1162		0/99168		0/0		0		46
1164		26/99466		26/298		0		59
1166		7/99661		7/195		0		65
1168		21/99663		21/2		0		60
1170		17/99664		17/1		0		61
1172		10/99704		10/40		0		50
1174		26/100129		26/425		0		8
1176		8/100180		8/51		0		63
1178		10/100181		10/1		0		61
1180		8/100181		8/0		0		55
1182		11/100204		11/23		0		42
1184		29/100693		29/489		0		55
1186		19/101022		19/329		0		57
1188		8/101022		8/0		0		47
1190		20/101023		20/1		0		59
1192		14/101033		14/10		0		61
1194		14/101329		14/296		0		7
1196		22/101767		22/438		0		71
1198		13/101934		13/167		0		60
1200		22/102232		22/298		0		62
